,Area Name,Distance From London,Cost per Habitable Room Relative to Income
0,Northumberland,428.42454339999995,1.8368771985089516
1,Sunderland,386.5071411,1.7610847189231988
2,Blackburn with Darwen,289.93003419999997,2.012365970102528
3,Blackpool,577.0392286,1.5709292356393854
4,Warrington,268.2388654,2.0767704198871946
5,Cheshire East,239.3406121,2.1380191130488395
6,Cheshire West and Chester,260.4062112,2.1549365338074775
7,Liverpool,286.7309512,1.8663272233536998
8,Sefton,294.32882060000003,1.9081947351029849
9,Wirral,289.16423710000004,1.8957641896832986
10,East Riding of Yorkshire,266.3092155,2.0661919404434372
11,Sheffield,227.74124159999997,2.470957823674888
12,Bradford,278.8980348,2.2106535857399474
13,Leeds,271.9480732,2.4835689045936395
14,Wakefield,260.2445891,2.0360599149355854
15,Leicester,142.7461948,2.802446199102028
16,Telford and Wrekin,209.71289840000003,2.0906223462331677
17,Birmingham,162.3895231,2.748905413857808
18,Solihull,151.9591575,2.6170846112213604
19,Dudley,173.8218825,2.3223680080356583
20,Sandwell,171.47732549999998,2.3065822412015904
21,Walsall,174.8634227,2.3687289243685914
22,Wolverhampton,182.1340604,2.147691027596727
23,Luton,46.99881074,3.7042692832542725
24,Bedford,72.87009501,2.8441616101820335
25,Central Bedfordshire,59.62477075,3.1642758423485677
26,Southend-on-Sea,59.44260653,3.4875520833333336
27,Thurrock,34.18058462,3.7980427046263343
28,London,0.0,12.245943113231414
29,Wandsworth,7.927116586,4.985925945559119
30,Tower Hamlets,4.435613925,7.029410566621858
31,Lambeth,1.5343676000000002,5.817391624617878
32,Enfield,16.25748284,4.906142104306742
33,Bromley,15.40635551,3.932564841498559
34,Croydon,15.28330851,4.3176862369417455
35,Barnet,16.55027533,4.772897585345546
36,Brent,11.74625409,5.792793926429261
37,Ealing,13.10858892,4.959338543436402
38,Milton Keynes,72.1209805,2.9729513923545263
39,Portsmouth,102.0337987,3.202044227307791
40,Isle of Wight,126.4916293,2.859990781286011
41,Swindon,113.48556129999999,2.673361747469366
42,Wiltshire,129.9757414,2.8696864781688785
43,Torbay,266.7698108,2.7016568250874275
