,Regression Line Points,Distance from London (km),Average Life Satisfaction (2017/18)
0,7.656362493084121,41.26145472,7.38
1,7.656448363015079,156.036719,7.67
2,7.656534232946036,73.54367532,7.92
3,7.656620102876993,163.4607681,7.55
4,7.656705972807951,277.40508,7.55
5,7.656791842738909,75.88315804,7.51
6,7.656877712669867,171.13133290000002,7.52
7,7.656963582600825,79.02412746,7.68
8,7.6570494525317825,86.96336455,7.68
9,7.657135322462739,420.3678522,7.54
10,7.657221192393697,48.336296399999995,7.49
11,7.657307062324655,265.1977639,7.88
12,7.657392932255613,211.25014879999998,7.85
13,7.657478802186571,87.92249888,8.05
14,7.657564672117528,138.12003049999998,7.52
15,7.6576505420484855,181.40962119999998,7.63
16,7.657736411979443,375.911989,7.8
17,7.657822281910401,87.27340233,7.56
18,7.657908151841359,254.1671305,7.86
19,7.657994021772317,151.7855614,7.75
20,7.658079891703274,32.96985765,7.7
21,7.658165761634232,87.39403828,7.38
22,7.658251631565189,188.7501679,7.84
23,7.658337501496147,251.49453509999998,7.64
24,7.658423371427105,334.8398788,7.81
25,7.658509241358063,272.4363721,7.71
26,7.65859511128902,142.898547,7.44
27,7.658680981219978,175.0634016,8.16
28,7.6587668511509355,193.8768168,7.97
29,7.658852721081893,286.0796793,7.52
30,7.658938591012851,0.0,
31,7.659024460943808,262.4775937,7.42
32,7.659110330874766,396.8043752,7.53
33,7.659196200805724,97.47120194,7.56
34,7.6592820707366815,174.8743205,7.42
35,7.659367940667639,83.13599514,7.75
36,7.659453810598597,118.66535690000002,7.58
37,7.659539680529554,308.884532,7.76
38,7.659625550460512,103.4215218,7.73
39,7.65971142039147,305.0734426,7.8
40,7.659797290322428,123.8822219,7.71
41,7.6598831602533854,264.20211639999997,7.67
42,7.659969030184342,227.4772985,7.48
43,7.6600549001153,151.7130448,7.81
44,7.660140770046258,111.72018659999999,7.73
45,7.660226639977216,31.13175417,7.57
46,7.660312509908174,217.32640959999998,7.64
47,7.6603983798391315,386.8808875,7.61
48,7.6604842497700885,165.8852686,7.91
49,7.660570119701046,114.58523590000001,7.71
50,7.660655989632004,258.4760721,7.77
51,7.660741859562962,96.51006583,7.93
52,7.66082772949392,181.7257676,7.28
53,7.660913599424877,163.07550469999998,7.62
54,7.6609994693558345,78.3724637,7.67
55,7.661085339286792,279.8515836,7.74
