"House Price per habitable room, 2016 (houses and flats)",Distance From London
338833,0.00
157948,1.53
200094,3.45
165119,3.75
172565,4.44
254303,4.88
398561,5.52
167311,5.81
217282,7.87
188114,7.93
107397,8.68
126447,9.00
145491,9.65
100430,10.44
138106,11.75
131402,11.83
116314,12.59
131358,13.11
101064,13.53
174836,13.90
94648,15.28
109168,15.41
107994,16.26
137574,16.55
99211,16.96
116317,16.97
125554,17.40
114915,17.56
79447,18.21
82500,19.83
112057,23.08
86070,23.53
76782,24.53
100000,26.60
87502,27.25
127893,30.43
100323,30.80
88236,34.18
68304,34.18
96588,34.21
92315,35.43
101992,38.54
72420,41.82
120285,43.89
68959,44.24
87610,44.51
57005,47.00
78105,47.23
67120,51.59
97356,53.24
55429,53.96
74251,57.27
66961,59.44
66396,59.62
72628,59.84
66768,60.00
80836,60.22
63578,63.10
77633,71.23
59572,72.12
57654,72.87
73079,77.65
113335,79.56
61088,80.03
103033,81.06
82380,82.30
88041,88.22
49381,93.68
61697,94.40
41323,96.48
44370,97.81
55778,101.24
49811,102.03
56465,109.58
50179,113.49
35840,116.46
48186,123.68
49638,126.49
59678,129.98
58327,133.39
46885,138.43
62567,141.83
36202,142.75
65887,148.88
58026,151.96
43379,152.32
72983,155.04
48455,156.71
56188,160.31
39554,162.39
58835,163.06
75641,164.13
139218,166.15
31328,171.48
36993,173.82
34420,174.86
51514,174.89
35495,175.54
38690,175.63
57400,176.73
39049,180.15
34401,180.95
40533,181.99
30974,182.13
57205,184.78
49253,191.61
28796,196.21
42560,197.63
34466,209.71
34965,212.91
46963,217.08
32127,219.49
24945,225.32
36968,227.74
29650,229.06
29102,236.24
43935,238.52
48548,239.34
27795,244.92
48873,250.59
33380,255.18
35373,259.06
33031,260.24
43631,260.41
42958,260.77
58390,261.07
30973,263.06
38301,266.31
47125,266.77
39766,268.24
36123,268.93
30282,270.97
42171,271.95
36853,275.31
34156,275.44
28638,278.75
30960,278.85
31997,278.90
28974,281.39
30619,282.34
26096,284.67
27491,286.73
33701,289.16
25712,289.93
20712,291.65
37550,291.73
34649,294.33
31403,305.91
41090,306.56
42892,319.88
51854,325.12
27212,344.07
25281,346.44
29328,349.72
28342,356.04
22877,359.64
26691,386.51
29930,394.35
32172,394.37
38192,399.74
36779,401.34
31610,420.57
34987,428.42
23820,577.04
