Distance from London (km),Average Life Satisfaction (2017/18)
41.26145472,7.38
156.036719,7.67
73.54367532,7.92
163.4607681,7.55
277.40508,7.55
75.88315804,7.51
171.1313329,7.52
79.02412746,7.68
86.96336455,7.68
420.3678522,7.54
48.3362964,7.49
265.1977639,7.88
211.2501488,7.85
87.92249888,8.05
138.1200305,7.52
181.4096212,7.63
375.911989,7.8
87.27340233,7.56
254.1671305,7.86
151.7855614,7.75
32.96985765,7.7
87.39403828,7.38
188.7501679,7.84
251.4945351,7.64
334.8398788,7.81
272.4363721,7.71
142.898547,7.44
175.0634016,8.16
193.8768168,7.97
286.0796793,7.52
0,x
262.4775937,7.42
396.8043752,7.53
97.47120194,7.56
174.8743205,7.42
83.13599514,7.75
118.6653569,7.58
308.884532,7.76
103.4215218,7.73
305.0734426,7.8
123.8822219,7.71
264.2021164,7.67
227.4772985,7.48
151.7130448,7.81
111.7201866,7.73
31.13175417,7.57
217.3264096,7.64
386.8808875,7.61
165.8852686,7.91
114.5852359,7.71
258.4760721,7.77
96.51006583,7.93
181.7257676,7.28
163.0755047,7.62
78.3724637,7.67
279.8515836,7.74
