,time,value,value2,month,year,year2,day,date
0,Feb-11,86.6,86.6,Feb,11,2011,01,2011-Feb-01
1,Apr-11,87.1,87.1,Apr,11,2011,01,2011-Apr-01
2,Sep-13,96.8,96.8,Sep,13,2013,01,2013-Sep-01
3,Sep-14,98.7,98.7,Sep,14,2014,01,2014-Sep-01
4,Jan-15,100.0,100.0,Jan,15,2015,01,2015-Jan-01
5,Nov-15,103.3,103.3,Nov,15,2015,01,2015-Nov-01
6,Jul-16,105.0,105.0,Jul,16,2016,01,2016-Jul-01
7,Sep-17,106.5,106.5,Sep,17,2017,01,2017-Sep-01
8,Dec-17,106.2,106.2,Dec,17,2017,01,2017-Dec-01
9,Jun-21,108.2,108.2,Jun,21,2021,01,2021-Jun-01
10,Dec-14,99.5,99.5,Dec,14,2014,01,2014-Dec-01
11,Jun-15,101.8,101.8,Jun,15,2015,01,2015-Jun-01
12,Dec-15,103.4,103.4,Dec,15,2015,01,2015-Dec-01
13,May-16,104.8,104.8,May,16,2016,01,2016-May-01
14,Jul-17,106.5,106.5,Jul,17,2017,01,2017-Jul-01
15,Oct-18,106.3,106.3,Oct,18,2018,01,2018-Oct-01
16,Sep-19,107.2,107.2,Sep,19,2019,01,2019-Sep-01
17,Sep-16,105.5,105.5,Sep,16,2016,01,2016-Sep-01
18,Apr-05,75.6,75.6,Apr,05,2005,01,2005-Apr-01
19,Dec-05,76.5,76.5,Dec,05,2005,01,2005-Dec-01
20,Mar-06,77.1,77.1,Mar,06,2006,01,2006-Mar-01
21,May-07,79.3,79.3,May,07,2007,01,2007-May-01
22,Feb-17,106.1,106.1,Feb,17,2017,01,2017-Feb-01
23,Mar-20,107.9,107.9,Mar,20,2020,01,2020-Mar-01
24,Oct-20,108.2,108.2,Oct,20,2020,01,2020-Oct-01
25,Mar-08,82.6,82.6,Mar,08,2008,01,2008-Mar-01
26,Aug-21,108.1,108.1,Aug,21,2021,01,2021-Aug-01
27,Oct-08,84.5,84.5,Oct,08,2008,01,2008-Oct-01
28,Jul-09,85.5,85.5,Jul,09,2009,01,2009-Jul-01
29,Mar-10,84.5,84.5,Mar,10,2010,01,2010-Mar-01
30,Apr-10,84.4,84.4,Apr,10,2010,01,2010-Apr-01
31,Sep-21,108.3,108.3,Sep,21,2021,01,2021-Sep-01
32,Sep-11,88.8,88.8,Sep,11,2011,01,2011-Sep-01
33,Jun-12,92.3,92.3,Jun,12,2012,01,2012-Jun-01
34,Jun-13,96.0,96.0,Jun,13,2013,01,2013-Jun-01
35,Nov-14,99.2,99.2,Nov,14,2014,01,2014-Nov-01
36,Feb-15,100.3,100.3,Feb,15,2015,01,2015-Feb-01
37,Aug-16,105.3,105.3,Aug,16,2016,01,2016-Aug-01
38,Dec-06,78.2,78.2,Dec,06,2006,01,2006-Dec-01
39,Nov-09,84.9,84.9,Nov,09,2009,01,2009-Nov-01
40,Jan-10,84.7,84.7,Jan,10,2010,01,2010-Jan-01
41,Mar-11,86.8,86.8,Mar,11,2011,01,2011-Mar-01
42,Jul-11,88.0,88.0,Jul,11,2011,01,2011-Jul-01
43,Aug-12,92.9,92.9,Aug,12,2012,01,2012-Aug-01
44,Apr-13,95.4,95.4,Apr,13,2013,01,2013-Apr-01
45,Aug-13,96.7,96.7,Aug,13,2013,01,2013-Aug-01
46,Nov-13,97.2,97.2,Nov,13,2013,01,2013-Nov-01
47,Mar-14,97.5,97.5,Mar,14,2014,01,2014-Mar-01
48,Aug-14,98.5,98.5,Aug,14,2014,01,2014-Aug-01
49,Jul-05,75.7,75.7,Jul,05,2005,01,2005-Jul-01
50,Aug-06,77.9,77.9,Aug,06,2006,01,2006-Aug-01
51,Jun-07,79.7,79.7,Jun,07,2007,01,2007-Jun-01
52,Feb-10,84.6,84.6,Feb,10,2010,01,2010-Feb-01
53,Jun-11,87.7,87.7,Jun,11,2011,01,2011-Jun-01
54,Feb-12,90.8,90.8,Feb,12,2012,01,2012-Feb-01
55,Oct-13,96.9,96.9,Oct,13,2013,01,2013-Oct-01
56,Jun-16,104.9,104.9,Jun,16,2016,01,2016-Jun-01
57,May-17,106.3,106.3,May,17,2017,01,2017-May-01
58,Nov-18,106.3,106.3,Nov,18,2018,01,2018-Nov-01
59,Aug-19,107.1,107.1,Aug,19,2019,01,2019-Aug-01
60,Sep-20,108.6,108.6,Sep,20,2020,01,2020-Sep-01
61,May-21,108.1,108.1,May,21,2021,01,2021-May-01
62,Jun-06,77.6,77.6,Jun,06,2006,01,2006-Jun-01
63,Aug-08,83.8,83.8,Aug,08,2008,01,2008-Aug-01
64,Feb-09,85.7,85.7,Feb,09,2009,01,2009-Feb-01
65,Dec-09,84.8,84.8,Dec,09,2009,01,2009-Dec-01
66,Jul-08,83.6,83.6,Jul,08,2008,01,2008-Jul-01
67,Jan-09,85.5,85.5,Jan,09,2009,01,2009-Jan-01
68,Jun-09,85.7,85.7,Jun,09,2009,01,2009-Jun-01
69,Aug-09,85.4,85.4,Aug,09,2009,01,2009-Aug-01
70,Sep-09,85.3,85.3,Sep,09,2009,01,2009-Sep-01
71,Sep-12,93.5,93.5,Sep,12,2012,01,2012-Sep-01
72,Apr-14,97.7,97.7,Apr,14,2014,01,2014-Apr-01
73,Mar-15,100.6,100.6,Mar,15,2015,01,2015-Mar-01
74,May-15,101.5,101.5,May,15,2015,01,2015-May-01
75,Nov-16,105.7,105.7,Nov,16,2016,01,2016-Nov-01
76,Jan-18,106.3,106.3,Jan,18,2018,01,2018-Jan-01
77,Apr-19,106.7,106.7,Apr,19,2019,01,2019-Apr-01
78,Dec-19,107.6,107.6,Dec,19,2019,01,2019-Dec-01
79,Jan-20,107.7,107.7,Jan,20,2020,01,2020-Jan-01
80,May-20,108.2,108.2,May,20,2020,01,2020-May-01
81,Jul-19,107.2,107.2,Jul,19,2019,01,2019-Jul-01
82,Nov-19,107.4,107.4,Nov,19,2019,01,2019-Nov-01
83,May-05,75.6,75.6,May,05,2005,01,2005-May-01
84,Aug-05,76.0,76.0,Aug,05,2005,01,2005-Aug-01
85,Aug-07,80.3,80.3,Aug,07,2007,01,2007-Aug-01
86,Oct-07,80.9,80.9,Oct,07,2007,01,2007-Oct-01
87,May-08,83.1,83.1,May,08,2008,01,2008-May-01
88,Mar-09,85.7,85.7,Mar,09,2009,01,2009-Mar-01
89,Nov-10,85.5,85.5,Nov,10,2010,01,2010-Nov-01
90,Dec-16,105.8,105.8,Dec,16,2016,01,2016-Dec-01
91,Jun-17,106.3,106.3,Jun,17,2017,01,2017-Jun-01
92,Aug-17,106.5,106.5,Aug,17,2017,01,2017-Aug-01
93,Oct-17,106.5,106.5,Oct,17,2017,01,2017-Oct-01
94,Aug-18,106.3,106.3,Aug,18,2018,01,2018-Aug-01
95,Jan-19,106.4,106.4,Jan,19,2019,01,2019-Jan-01
96,Feb-19,106.5,106.5,Feb,19,2019,01,2019-Feb-01
97,Feb-21,108.5,108.5,Feb,21,2021,01,2021-Feb-01
98,Mar-05,75.5,75.5,Mar,05,2005,01,2005-Mar-01
