,time,value,month,year,year2,day,date
0,Jun-06,2.6,Jun,06,2006,01,2006-Jun-01
1,Nov-08,4.6,Nov,08,2008,01,2008-Nov-01
2,May-09,3.3,May,09,2009,01,2009-May-01
3,Jan-10,-1.0,Jan,10,2010,01,2010-Jan-01
4,Dec-10,1.3,Dec,10,2010,01,2010-Dec-01
5,Oct-12,5.2,Oct,12,2012,01,2012-Oct-01
6,Apr-13,4.2,Apr,13,2013,01,2013-Apr-01
7,Dec-13,3.0,Dec,13,2013,01,2013-Dec-01
8,Feb-06,2.0,Feb,06,2006,01,2006-Feb-01
9,Dec-06,2.3,Dec,06,2006,01,2006-Dec-01
10,Apr-09,3.6,Apr,09,2009,01,2009-Apr-01
11,Jan-18,0.2,Jan,18,2018,01,2018-Jan-01
12,May-20,1.2,May,20,2020,01,2020-May-01
13,Sep-21,-0.3,Sep,21,2021,01,2021-Sep-01
14,Feb-05,,Feb,05,2005,01,2005-Feb-01
15,May-06,2.4,May,06,2006,01,2006-May-01
16,Sep-08,4.2,Sep,08,2008,01,2008-Sep-01
17,Feb-09,4.1,Feb,09,2009,01,2009-Feb-01
18,Sep-11,4.4,Sep,11,2011,01,2011-Sep-01
19,Jan-13,4.6,Jan,13,2013,01,2013-Jan-01
20,Jan-14,2.8,Jan,14,2014,01,2014-Jan-01
21,Jan-17,2.1,Jan,17,2017,01,2017-Jan-01
22,Oct-17,0.8,Oct,17,2017,01,2017-Oct-01
23,Nov-17,0.6,Nov,17,2017,01,2017-Nov-01
24,Dec-19,1.2,Dec,19,2019,01,2019-Dec-01
25,Sep-07,3.4,Sep,07,2007,01,2007-Sep-01
26,Oct-07,3.8,Oct,07,2007,01,2007-Oct-01
27,Mar-08,4.8,Mar,08,2008,01,2008-Mar-01
28,Jan-09,4.0,Jan,09,2009,01,2009-Jan-01
29,May-05,,May,05,2005,01,2005-May-01
30,Apr-07,2.5,Apr,07,2007,01,2007-Apr-01
31,May-08,4.7,May,08,2008,01,2008-May-01
32,Dec-08,4.3,Dec,08,2008,01,2008-Dec-01
33,Jun-11,3.7,Jun,11,2011,01,2011-Jun-01
34,Dec-11,4.9,Dec,11,2011,01,2011-Dec-01
35,May-12,5.2,May,12,2012,01,2012-May-01
36,Jun-12,5.3,Jun,12,2012,01,2012-Jun-01
37,Jul-12,5.3,Jul,12,2012,01,2012-Jul-01
38,Jun-10,-1.4,Jun,10,2010,01,2010-Jun-01
39,May-13,4.2,May,13,2013,01,2013-May-01
40,Jul-13,4.0,Jul,13,2013,01,2013-Jul-01
41,May-15,3.7,May,15,2015,01,2015-May-01
42,Oct-10,0.2,Oct,10,2010,01,2010-Oct-01
43,Jan-11,2.0,Jan,11,2011,01,2011-Jan-01
44,Oct-15,4.1,Oct,15,2015,01,2015-Oct-01
45,Jan-12,4.9,Jan,12,2012,01,2012-Jan-01
46,Dec-15,3.9,Dec,15,2015,01,2015-Dec-01
47,Jul-16,3.0,Jul,16,2016,01,2016-Jul-01
48,Oct-16,2.6,Oct,16,2016,01,2016-Oct-01
49,Nov-05,,Nov,05,2005,01,2005-Nov-01
50,Jan-07,2.1,Jan,07,2007,01,2007-Jan-01
51,Jan-08,4.9,Jan,08,2008,01,2008-Jan-01
52,Jun-08,4.7,Jun,08,2008,01,2008-Jun-01
53,Dec-09,-0.5,Dec,09,2009,01,2009-Dec-01
54,Aug-10,-0.7,Aug,10,2010,01,2010-Aug-01
55,Feb-11,2.3,Feb,11,2011,01,2011-Feb-01
56,Feb-12,4.9,Feb,12,2012,01,2012-Feb-01
57,Oct-13,3.3,Oct,13,2013,01,2013-Oct-01
58,Nov-14,2.1,Nov,14,2014,01,2014-Nov-01
59,Jan-16,3.9,Jan,16,2016,01,2016-Jan-01
60,Mar-17,1.6,Mar,17,2017,01,2017-Mar-01
61,Mar-18,0.1,Mar,18,2018,01,2018-Mar-01
62,May-18,-0.2,May,18,2018,01,2018-May-01
63,Oct-19,0.9,Oct,19,2019,01,2019-Oct-01
64,Feb-14,2.5,Feb,14,2014,01,2014-Feb-01
65,Apr-15,3.3,Apr,15,2015,01,2015-Apr-01
66,Dec-16,2.4,Dec,16,2016,01,2016-Dec-01
67,Sep-17,0.9,Sep,17,2017,01,2017-Sep-01
68,Jun-18,-0.2,Jun,18,2018,01,2018-Jun-01
69,Nov-19,1.0,Nov,19,2019,01,2019-Nov-01
70,Jul-20,1.1,Jul,20,2020,01,2020-Jul-01
71,Jul-21,-0.1,Jul,21,2021,01,2021-Jul-01
72,Jan-06,1.7,Jan,06,2006,01,2006-Jan-01
73,Aug-09,2.0,Aug,09,2009,01,2009-Aug-01
74,Jul-10,-1.0,Jul,10,2010,01,2010-Jul-01
75,May-11,3.4,May,11,2011,01,2011-May-01
76,Jul-11,3.9,Jul,11,2011,01,2011-Jul-01
77,Aug-11,4.2,Aug,11,2011,01,2011-Aug-01
78,Jan-15,2.8,Jan,15,2015,01,2015-Jan-01
79,Aug-17,1.2,Aug,17,2017,01,2017-Aug-01
80,Aug-18,-0.3,Aug,18,2018,01,2018-Aug-01
81,Jun-19,0.9,Jun,19,2019,01,2019-Jun-01
82,Jan-20,1.3,Jan,20,2020,01,2020-Jan-01
83,May-21,-0.1,May,21,2021,01,2021-May-01
84,Jun-05,,Jun,05,2005,01,2005-Jun-01
85,Oct-06,2.3,Oct,06,2006,01,2006-Oct-01
86,Nov-06,2.4,Nov,06,2006,01,2006-Nov-01
87,Aug-07,3.1,Aug,07,2007,01,2007-Aug-01
88,Dec-07,4.4,Dec,07,2007,01,2007-Dec-01
89,Jul-08,4.5,Jul,08,2008,01,2008-Jul-01
90,Oct-08,4.4,Oct,08,2008,01,2008-Oct-01
91,Sep-09,1.6,Sep,09,2009,01,2009-Sep-01
92,Nov-10,0.7,Nov,10,2010,01,2010-Nov-01
93,Nov-11,4.7,Nov,11,2011,01,2011-Nov-01
94,Aug-12,5.1,Aug,12,2012,01,2012-Aug-01
